feature,coefficient,abs_coefficient
DELAYED_MONTHS_COUNT,0.9134839905631442,0.9134839905631442
MAX_PAYMENT_DELAY,0.3164861360788556,0.3164861360788556
LIMIT_BAL,-0.23229817141778747,0.23229817141778747
PAY_0,0.1957356273661241,0.1957356273661241
PAY_2,-0.17470351443997964,0.17470351443997964
PAY_AMT1,-0.13313535899719642,0.13313535899719642
PAY_3,-0.12863149425746037,0.12863149425746037
PAY_6,-0.12661988691155487,0.12661988691155487
PAY_AMT2,-0.11726750178934664,0.11726750178934664
PAY_5,-0.11171763423744616,0.11171763423744616
CREDIT_UTILIZATION,0.10223866105211833,0.10223866105211833
BILL_AMT2,0.10047149952061098,0.10047149952061098
PAY_4,-0.10002554916134385,0.10002554916134385
AVG_PAYMENT_DELAY,-0.0907058596370252,0.0907058596370252
BILL_AMT3,0.08986668564141785,0.08986668564141785
BILL_AMT6,-0.08629326710242902,0.08629326710242902
TOTAL_PAY,-0.07317127541570481,0.07317127541570481
SEX,-0.07099415366527889,0.07099415366527889
MARRIAGE,-0.07047850737874946,0.07047850737874946
BILL_AMT4,0.053296868452069907,0.053296868452069907
PAYMENT_RATIO,-0.04876777240207759,0.04876777240207759
AGE,0.04845108130542132,0.04845108130542132
EDUCATION,-0.04659072080233892,0.04659072080233892
BILL_AMT1,-0.04422130450828758,0.04422130450828758
BILL_AMT5,-0.04085114181597553,0.04085114181597553
PAY_AMT5,0.01914044173676088,0.01914044173676088
TOTAL_BILL,0.015425536191674312,0.015425536191674312
PAY_AMT4,-0.002585955233892681,0.002585955233892681
PAY_AMT3,-0.0015718950610383094,0.0015718950610383094
PAY_AMT6,-0.0011934849243574828,0.0011934849243574828
